Tipo RBRACKET Valor ]                Linea 24               Posicion 560 
Tipo ID   Valor colores          Linea 24               Posicion 562 
Tipo EQUALS Valor =                Linea 24               Posicion 570 
Tipo STRING_LITERAL Valor "azul"           Linea 24               Posicion 572 
Tipo COMMA Valor ,                Linea 24               Posicion 578 
Tipo STRING_LITERAL Valor "morado"         Linea 24               Posicion 580 
Tipo COMMA Valor ,                Linea 24               Posicion 588 
Tipo STRING_LITERAL Valor "rosa"           Linea 24               Posicion 590 
Tipo COMMA Valor ,                Linea 24               Posicion 596 
Tipo STRING_LITERAL Valor "amarillo"       Linea 24               Posicion 598 
Tipo RBRACE Valor }                Linea 24               Posicion 608 
Tipo SEMI Valor ;                Linea 24               Posicion 609 
Tipo INT  Valor int              Linea 26               Posicion 628 
Tipo LBRACKET Valor [                Linea 26               Posicion 631 
Tipo RBRACKET Valor ]                Linea 26               Posicion 632 
Tipo ID   Valor numeros          Linea 26               Posicion 634 
Tipo EQUALS Valor =                Linea 26               Posicion 642 
Tipo LBRACE Valor {                Linea 26               Posicion 644 
Tipo NUMBER Valor 1                Linea 26               Posicion 645 
Tipo COMMA Valor ,                Linea 26               Posicion 646 
Tipo NUMBER Valor 2                Linea 26               Posicion 648 
Tipo COMMA Valor ,                Linea 26               Posicion 649 
Tipo NUMBER Valor 3                Linea 26               Posicion 651 
Tipo COMMA Valor ,                Linea 26               Posicion 652 
Tipo NUMBER Valor 4                Linea 26               Posicion 654 
Tipo COMMA Valor ,                Linea 26               Posicion 655 
Tipo NUMBER Valor 5                Linea 26               Posicion 657 
Tipo RBRACE Valor }                Linea 26               Posicion 658 
Tipo SEMI Valor ;                Linea 26               Posicion 659 
Tipo INT  Valor int              Linea 28               Posicion 678 
Tipo LBRACKET Valor [                Linea 28               Posicion 681 
Tipo RBRACKET Valor ]                Linea 28               Posicion 682 
Tipo ID   Valor objetos_cocina   Linea 28               Posicion 684 
Tipo EQUALS Valor =                Linea 28               Posicion 699 
Tipo LBRACE Valor {                Linea 28               Posicion 701 
Tipo ID   Valor mesa             Linea 28               Posicion 702 
Tipo COMMA Valor ,                Linea 28               Posicion 706 
Tipo ID   Valor silla            Linea 28               Posicion 708 
Tipo COMMA Valor ,                Linea 28               Posicion 713 
Tipo ID   Valor estufa           Linea 28               Posicion 715 
Tipo COMMA Valor ,                Linea 28               Posicion 721 
Tipo ID   Valor cuchillo         Linea 28               Posicion 723 
Tipo RBRACE Valor }                Linea 28               Posicion 731 
Tipo SEMI Valor ;                Linea 28               Posicion 732 
Tipo IF   Valor if               Linea 30               Posicion 751 
Tipo LPAREN Valor (                Linea 30               Posicion 754 
Tipo ID   Valor palabra          Linea 30               Posicion 755 
Tipo EQ   Valor ==               Linea 30               Posicion 763 
Tipo STRING_LITERAL Valor "Hola"           Linea 30               Posicion 766 
Tipo RPAREN Valor )                Linea 30               Posicion 772 
Tipo LBRACE Valor {                Linea 30               Posicion 774 
Tipo SYSTEM Valor System           Linea 31               Posicion 788 
Tipo PUNTO Valor .                Linea 31               Posicion 794 
Tipo OUT  Valor out              Linea 31               Posicion 795 
Tipo PUNTO Valor .                Linea 31               Posicion 798 
Tipo PRINTLN Valor println          Linea 31               Posicion 799 
Tipo LPAREN Valor (                Linea 31               Posicion 806 
Tipo STRING_LITERAL Valor "Excelente puntaje." Linea 31               Posicion 807 
